Company,RSS Feed URL
Lufthansa,https://news.google.com/rss/search?q=%22Lufthansa%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
British Airways,https://news.google.com/rss/search?q=%22British+Airways%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
United Airlines,https://news.google.com/rss/search?q=%22United+Airlines%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Delta Air Lines,https://news.google.com/rss/search?q=%22Delta+Air+Lines%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
American Airlines,https://news.google.com/rss/search?q=%22American+Airlines%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Etihad Airways,https://news.google.com/rss/search?q=%22Etihad+Airways%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
SWISS,https://news.google.com/rss/search?q=%22SWISS%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
KLM,https://news.google.com/rss/search?q=%22KLM%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Marriott International,https://news.google.com/rss/search?q=%22Marriott+International%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Jin Jiang,https://news.google.com/rss/search?q=%22Jin+Jiang%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Hilton Worldwide,https://news.google.com/rss/search?q=%22Hilton+Worldwide%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
H World Group (ex-Huazhu),https://news.google.com/rss/search?q=%22H+World+Group+(ex-Huazhu)%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
IHG (InterContinental Hotels Group),https://news.google.com/rss/search?q=%22IHG+(InterContinental+Hotels+Group)%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Wyndham Hotels & Resorts,https://news.google.com/rss/search?q=%22Wyndham+Hotels+%26+Resorts%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Accor,https://news.google.com/rss/search?q=%22Accor%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Choice Hotels International,https://news.google.com/rss/search?q=%22Choice+Hotels+International%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
OYO,https://news.google.com/rss/search?q=%22OYO%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
BTH Hotels,https://news.google.com/rss/search?q=%22BTH+Hotels%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
